store_code;barcode;sap_code;operational_division;operational_sub_axe_label;total_items_weekly;contribution_percentage;cumulative_sum;cumulative_percentage;abc_class;period_start;period_end
A90;3600542383523;C6482802;CPD;Face Care;26;7.16;81;22.31;A;06/06/2025;20/06/2025
A90;3054080063780;ZFR26373;CPD;Face Cleansing;38;38.78;38;38.78;A;06/06/2025;20/06/2025
A90;3600520756509;A2184230;CPD;Hair Care;42;6.19;42;6.19;A;06/06/2025;20/06/2025
A90;3600523755721;ZFR36801;CPD;Hair Care;22;3.24;109;16.08;A;06/06/2025;20/06/2025
A90;3600522105992;A7480315;CPD;Hair Care;20;2.95;129;19.03;A;06/06/2025;20/06/2025
A90;3600524098568;AA638200;CPD;Hair Care;19;2.8;148;21.83;A;06/06/2025;20/06/2025
A90;3600542120487;C5986403;CPD;Hair Care;18;2.65;203;29.94;A;06/06/2025;20/06/2025
A90;3600524098681;AA639400;CPD;Hair Care;17;2.51;220;32.45;A;06/06/2025;20/06/2025
A90;3600551142210;D3899301;CPD;Hair Care;15;2.21;316;46.61;A;06/06/2025;20/06/2025
A90;3600524102982;AA654800;CPD;Hair Care;11;1.62;445;65.63;A;06/06/2025;20/06/2025
A90;3600551142227;D3899401;CPD;Hair Care;7;1.03;553;81.56;B;06/06/2025;20/06/2025
A90;3600551119854;D3844700;CPD;Hair Care;3;0.44;643;94.84;B;06/06/2025;20/06/2025
A90;3600551142128;D3898400;CPD;Hair Care;2;0.29;653;96.31;C;06/06/2025;20/06/2025
A90;3600550817584;D0790622;CPD;Hair Care;2;0.29;661;97.49;C;06/06/2025;20/06/2025
A90;3600551102993;WFR27338;CPD;Hair Care;1;0.15;673;99.26;C;06/06/2025;20/06/2025
A90;3600542298407;XFR26621;CPD;Sun Care;31;11.19;31;11.19;A;06/06/2025;20/06/2025
A90;3600551068459;WFR28691;CPD;Sun Care;15;5.42;83;29.96;A;06/06/2025;20/06/2025
A90;3600551125336;WFR28694;CPD;Sun Care;14;5.05;97;35.02;A;06/06/2025;20/06/2025
A90;3600541426078;XFR26602;CPD;Sun Care;9;3.25;176;63.54;A;06/06/2025;20/06/2025
A90;3600551067353;WFR28693;CPD;Sun Care;7;2.53;200;72.2;A;06/06/2025;20/06/2025
A90;3600542444224;C6660702;CPD;Sun Care;7;2.53;214;77.26;A;06/06/2025;20/06/2025
A90;3600542450645;XFR26611;CPD;Sun Care;7;2.53;228;82.31;B;06/06/2025;20/06/2025
A90;3600542453516;XFR26612;CPD;Sun Care;3;1.08;271;97.83;C;06/06/2025;20/06/2025
B10;3600542383523;C6482802;CPD;Face Care;28;6.95;59;14.64;A;06/06/2025;20/06/2025
B10;3054080063780;ZFR26373;CPD;Face Cleansing;40;41.67;40;41.67;A;06/06/2025;20/06/2025
B10;3600522105992;A7480315;CPD;Hair Care;78;6.76;78;6.76;A;06/06/2025;20/06/2025
B10;3600551142227;D3899401;CPD;Hair Care;54;4.68;132;11.44;A;06/06/2025;20/06/2025
B10;3600524143619;AA831200;CPD;Hair Care;36;3.12;339;29.38;A;06/06/2025;20/06/2025
B10;3600551142128;D3898400;CPD;Hair Care;30;2.6;401;34.75;A;06/06/2025;20/06/2025
B10;3600524098568;AA638200;CPD;Hair Care;28;2.43;429;37.18;A;06/06/2025;20/06/2025
B10;3600551142210;D3899301;CPD;Hair Care;27;2.34;456;39.51;A;06/06/2025;20/06/2025
B10;3600520756509;A2184230;CPD;Hair Care;25;2.17;532;46.1;A;06/06/2025;20/06/2025
B10;3600551142197;D3899100;CPD;Hair Care;19;1.65;743;64.38;A;06/06/2025;20/06/2025
B10;3600524098681;AA639400;CPD;Hair Care;19;1.65;762;66.03;A;06/06/2025;20/06/2025
B10;3600524102982;AA654800;CPD;Hair Care;18;1.56;853;73.92;A;06/06/2025;20/06/2025
B10;3600550817584;D0790622;CPD;Hair Care;16;1.39;869;75.3;A;06/06/2025;20/06/2025
B10;3600551119854;D3844700;CPD;Hair Care;14;1.21;942;81.63;B;06/06/2025;20/06/2025
B10;3600550041347;D0980407;CPD;Hair Care;11;0.95;1031;89.34;B;06/06/2025;20/06/2025
B10;3600542417846;XFR25148;CPD;Hair Care;11;0.95;1064;92.2;B;06/06/2025;20/06/2025
