end_of_month_period;company_code;plant;plant_description;ean_code;product_code_or_active_code_in_supersession_chain;product_mm_status;FlagExcess6months;FlagExcess12months;FlagObsolete;slow_moving_calculated_qty_6months;slow_moving_calculated_qty_12months;StockToAllocate;AvailableStock
31/05/2025;504A;OAAA;AFM FR - VEMARS;3054080063780;A5742754;50;0;0;1;0;0;25998;8610
31/05/2025;504A;OAAB;AFM FR - SPI;3054080063780;A5742754;50;0;0;1;0;0;32340;23148
31/05/2025;504A;OAAG;AFM FR - BSL ecom;3054080063780;A5742754;50;0;0;1;0;0;109;198
31/05/2025;504A;OAAA;AFM FR - VEMARS;3600520756509;A2184230;80;0;0;1;0;0;636;120
31/05/2025;504A;OAAB;AFM FR - SPI;3600520756509;A2184230;80;0;0;1;0;0;72;216
31/05/2025;504A;OAAA;AFM FR - VEMARS;3600522105992;A7480315;70;0;0;1;0;0;96;2754
31/05/2025;504A;OAAB;AFM FR - SPI;3600522105992;A7480315;70;0;0;1;0;0;22638;19554
31/05/2025;504A;OAAG;AFM FR - BSL ecom;3600522105992;A7480315;50;0;0;1;0;0;196;121
31/05/2025;504A;OAAA;AFM FR - VEMARS;3600523755721;A9892203;80;0;0;1;0;0;960;876
31/05/2025;504A;OAAB;AFM FR - SPI;3600523755721;A9892203;80;0;0;1;0;0;1140;1050
31/05/2025;504A;OAAG;AFM FR - BSL ecom;3600523755721;A9892203;70;0;0;1;0;0;121;106
31/05/2025;504A;OAAA;AFM FR - VEMARS;3600524098568;AA638200;80;0;0;1;0;0;41399;36552
31/05/2025;504A;OAAB;AFM FR - SPI;3600524098568;AA638200;80;0;0;1;0;0;1140;2136
31/05/2025;504A;OAAG;AFM FR - BSL ecom;3600524098568;AA638200;50;0;0;1;0;0;96;227
31/05/2025;504A;OAAA;AFM FR - VEMARS;3600524098681;AA639400;80;0;0;1;0;0;276;
31/05/2025;504A;OAAB;AFM FR - SPI;3600524098681;AA639400;80;0;0;1;0;0;282;180
31/05/2025;504A;OAAG;AFM FR - BSL ecom;3600524098681;AA639400;50;0;0;1;0;0;10;16
31/05/2025;504A;OAAA;AFM FR - VEMARS;3600524098698;AA639500;80;0;0;1;0;0;47508;336
31/05/2025;504A;OAAB;AFM FR - SPI;3600524098698;AA639500;80;0;0;1;0;0;780;96
31/05/2025;504A;OAAG;AFM FR - BSL ecom;3600524098698;AA639500;70;0;0;1;0;0;34;12
31/05/2025;504A;OAAA;AFM FR - VEMARS;3600524102982;AA654800;80;0;0;1;0;0;60;0
31/05/2025;504A;OAAB;AFM FR - SPI;3600524102982;AA654800;80;0;0;1;0;0;36;
31/05/2025;504A;OAAG;AFM FR - BSL ecom;3600524102982;AA654800;70;0;0;1;0;0;76;6
31/05/2025;504A;OAAA;AFM FR - VEMARS;3600524143619;AA831200;80;0;0;1;0;0;4290;3246
31/05/2025;504A;OAAB;AFM FR - SPI;3600524143619;AA831200;80;0;0;1;0;0;1032;1614
31/05/2025;504A;OAAB;AFM FR - SPI;3600541426078;C5341859;50;0;0;1;0;0;8087;8100
31/05/2025;504A;OAAC;AFM FR - ESSIGNY;3600541426078;C5341859;50;1;0;0;4960;-25342;4960;2352
