store_code;country_code_iso3;physical_quantity;product_code;barcode
A90;FRA;68;3054080063780;3054080063780
A90;FRA;39;3600520756509;3600520756509
A90;FRA;67;3600522105992;3600522105992
A90;FRA;36;3600523755721;3600523755721
A90;FRA;26;3600524098568;3600524098568
A90;FRA;1;3600524098681;3600524098681
A90;FRA;37;3600524098681;3600524098681
A90;FRA;50;3600524102982;3600524102982
A90;FRA;22;3600541426078;3600541426078
A90;FRA;51;3600542120487;3600542120487
A90;FRA;175;3600542298407;3600542298407
A90;FRA;54;3600542383523;3600542383523
A90;FRA;15;3600542444224;3600542444224
A90;FRA;123;3600542450645;3600542450645
A90;FRA;51;3600542453516;3600542453516
A90;FRA;48;3600542453769;3600542453769
A90;FRA;36;3600550817584;3600550817584
A90;FRA;5;3600551067353;3600551067353
A90;FRA;47;3600551068459;3600551068459
A90;FRA;2;3600551068459;3600551068459
A90;FRA;47;3600551102993;3600551102993
A90;FRA;33;3600551119854;3600551119854
A90;FRA;33;3600551125336;3600551125336
A90;FRA;46;3600551142128;3600551142128
A90;FRA;48;3600551142197;3600551142197
A90;FRA;32;3600551142210;3600551142210
A90;FRA;50;3600551142227;3600551142227
B10;FRA;99;3054080063780;3054080063780
B10;FRA;261;3600520756509;3600520756509
B10;FRA;1;3600520756509;3600520756509
B10;FRA;13;3600522105992;3600522105992
B10;FRA;34;3600523755721;3600523755721
B10;FRA;1;3600524098568;3600524098568
B10;FRA;35;3600524098568;3600524098568
B10;FRA;3;3600524098681;3600524098681
B10;FRA;4;3600524102982;3600524102982
B10;FRA;8;3600524143619;3600524143619
B10;FRA;25;3600541426078;3600541426078
B10;FRA;45;3600542120487;3600542120487
B10;FRA;179;3600542298407;3600542298407
B10;FRA;1;3600542298407;3600542298407
B10;FRA;35;3600542383523;3600542383523
B10;FRA;2;3600542417846;3600542417846
B10;FRA;104;3600542450645;3600542450645
B10;FRA;25;3600542453516;3600542453516
B10;FRA;27;3600550041347;3600550041347
B10;FRA;58;3600550817584;3600550817584
B10;FRA;29;3600551067353;3600551067353
B10;FRA;13;3600551068459;3600551068459
B10;FRA;54;3600551119854;3600551119854
B10;FRA;12;3600551125336;3600551125336
B10;FRA;1;3600551142128;3600551142128
B10;FRA;15;3600551142197;3600551142197
B10;FRA;11;3600551142210;3600551142210
B10;FRA;1;3600551142227;3600551142227
B20;FRA;132;3054080063780;3054080063780
B20;FRA;117;3600520756509;3600520756509
B20;FRA;2;3600520756509;3600520756509
B20;FRA;-1;3600522105992;3600522105992
B20;FRA;1;3600522105992;3600522105992
B20;FRA;55;3600523755721;3600523755721
B20;FRA;97;3600524098568;3600524098568
B20;FRA;41;3600524098681;3600524098681
B20;FRA;22;3600524098698;3600524098698
B20;FRA;41;3600524143619;3600524143619
B20;FRA;2;3600524143619;3600524143619
B20;FRA;32;3600541426078;3600541426078
B20;FRA;113;3600542120487;3600542120487
B20;FRA;142;3600542298407;3600542298407
B20;FRA;58;3600542383523;3600542383523
B20;FRA;1;3600542417846;3600542417846
B20;FRA;1;3600542444224;3600542444224
B20;FRA;2;3600542444224;3600542444224
B20;FRA;41;3600542450645;3600542450645
B20;FRA;20;3600542453516;3600542453516
B20;FRA;115;3600550041347;3600550041347
B20;FRA;119;3600550817584;3600550817584
B20;FRA;34;3600551067353;3600551067353
B20;FRA;1;3600551068459;3600551068459
B20;FRA;89;3600551068459;3600551068459
B20;FRA;143;3600551119854;3600551119854
B20;FRA;53;3600551125336;3600551125336
B20;FRA;1;3600551125336;3600551125336
B20;FRA;123;3600551142227;3600551142227
B30;FRA;154;3054080063780;3054080063780
B30;FRA;80;3600520756509;3600520756509
B30;FRA;29;3600522105992;3600522105992
B30;FRA;3;3600522105992;3600522105992
B30;FRA;18;3600523755721;3600523755721
B30;FRA;117;3600524098568;3600524098568
B30;FRA;47;3600524098681;3600524098681
B30;FRA;1;3600524102982;3600524102982
B30;FRA;1;3600524143619;3600524143619
B30;FRA;56;3600524143619;3600524143619
B30;FRA;29;3600541426078;3600541426078
B30;FRA;134;3600542120487;3600542120487
B30;FRA;1;3600542298407;3600542298407
B30;FRA;54;3600542298407;3600542298407
B30;FRA;78;3600542383523;3600542383523
B30;FRA;12;3600542417846;3600542417846
B30;FRA;77;3600542450645;3600542450645
B30;FRA;58;3600542453516;3600542453516
B30;FRA;181;3600550041347;3600550041347
B30;FRA;139;3600550817584;3600550817584
B30;FRA;94;3600551067353;3600551067353
B30;FRA;135;3600551068459;3600551068459
B30;FRA;161;3600551119854;3600551119854
B30;FRA;101;3600551125336;3600551125336
B30;FRA;29;3600551142227;3600551142227
B40;FRA;1;3054080063780;3054080063780
B40;FRA;144;3054080063780;3054080063780
B40;FRA;69;3600520756509;3600520756509
B40;FRA;1;3600520756509;3600520756509
B40;FRA;48;3600522105992;3600522105992
B40;FRA;1;3600522105992;3600522105992
B40;FRA;39;3600523755721;3600523755721
B40;FRA;47;3600524098568;3600524098568
B40;FRA;5;3600524098568;3600524098568
B40;FRA;18;3600524098681;3600524098681
B40;FRA;17;3600524143619;3600524143619
B40;FRA;20;3600541426078;3600541426078
B40;FRA;38;3600542120487;3600542120487
B40;FRA;127;3600542298407;3600542298407
B40;FRA;1;3600542298407;3600542298407
B40;FRA;79;3600542383523;3600542383523
B40;FRA;2;3600542450645;3600542450645
B40;FRA;81;3600542450645;3600542450645
B40;FRA;85;3600542453516;3600542453516
B40;FRA;63;3600550041347;3600550041347
B40;FRA;44;3600550817584;3600550817584
B40;FRA;29;3600551067353;3600551067353
B40;FRA;1;3600551067353;3600551067353
B40;FRA;16;3600551068459;3600551068459
B40;FRA;42;3600551119854;3600551119854
B40;FRA;9;3600551125336;3600551125336
B40;FRA;15;3600551142197;3600551142197
B40;FRA;1;3600551142210;3600551142210
B40;FRA;3;3600551142227;3600551142227
B50;FRA;119;3054080063780;3054080063780
B50;FRA;2;3054080063780;3054080063780
B50;FRA;1;3600520756509;3600520756509
B50;FRA;102;3600520756509;3600520756509
B50;FRA;1;3600522105992;3600522105992
B50;FRA;5;3600522105992;3600522105992
B50;FRA;101;3600523755721;3600523755721
B50;FRA;2;3600523755721;3600523755721
B50;FRA;62;3600524098568;3600524098568
B50;FRA;10;3600524098681;3600524098681
B50;FRA;8;3600524098698;3600524098698
B50;FRA;1;3600524102982;3600524102982
B50;FRA;2;3600524102982;3600524102982
B50;FRA;4;3600524143619;3600524143619
B50;FRA;54;3600541426078;3600541426078
B50;FRA;69;3600542120487;3600542120487
B50;FRA;109;3600542298407;3600542298407
B50;FRA;56;3600542383523;3600542383523
B50;FRA;1;3600542441643;3600542441643
B50;FRA;71;3600542450645;3600542450645
B50;FRA;1;3600542450645;3600542450645
B50;FRA;38;3600542453516;3600542453516
B50;FRA;53;3600550041347;3600550041347
B50;FRA;53;3600550817584;3600550817584
B50;FRA;24;3600551067353;3600551067353
B50;FRA;1;3600551068459;3600551068459
B50;FRA;17;3600551119854;3600551119854
B50;FRA;26;3600551125336;3600551125336
B50;FRA;10;3600551142197;3600551142197
B50;FRA;4;3600551142227;3600551142227
H00;FRA;146;3054080063780;3054080063780
H00;FRA;1;3054080063780;3054080063780
H00;FRA;35;3600520756509;3600520756509
H00;FRA;145;3600522105992;3600522105992
H00;FRA;65;3600523755721;3600523755721
H00;FRA;36;3600524098568;3600524098568
H00;FRA;57;3600524098681;3600524098681
H00;FRA;13;3600524098698;3600524098698
H00;FRA;56;3600524102982;3600524102982
H00;FRA;49;3600524143619;3600524143619
H00;FRA;90;3600541426078;3600541426078
H00;FRA;80;3600542120487;3600542120487
H00;FRA;115;3600542298407;3600542298407
H00;FRA;143;3600542383523;3600542383523
H00;FRA;96;3600542417846;3600542417846
H00;FRA;72;3600542441643;3600542441643
H00;FRA;-1;3600542444224;3600542444224
H00;FRA;117;3600542450645;3600542450645
H00;FRA;34;3600542453516;3600542453516
H00;FRA;36;3600542453769;3600542453769
H00;FRA;132;3600550041347;3600550041347
H00;FRA;145;3600550817584;3600550817584
H00;FRA;98;3600551067353;3600551067353
H00;FRA;87;3600551068459;3600551068459
H00;FRA;193;3600551119854;3600551119854
H00;FRA;3;3600551125336;3600551125336
H00;FRA;1;3600551142227;3600551142227
I20;FRA;115;3054080063780;3054080063780
I20;FRA;152;3600520756509;3600520756509
I20;FRA;1;3600520756509;3600520756509
I20;FRA;53;3600522105992;3600522105992
I20;FRA;17;3600523755721;3600523755721
I20;FRA;34;3600524098568;3600524098568
I20;FRA;1;3600524098681;3600524098681
I20;FRA;17;3600524098681;3600524098681
I20;FRA;38;3600524098698;3600524098698
I20;FRA;2;3600524098698;3600524098698
I20;FRA;34;3600524102982;3600524102982
I20;FRA;1;3600524143619;3600524143619
I20;FRA;41;3600541426078;3600541426078
I20;FRA;58;3600542120487;3600542120487
I20;FRA;98;3600542298407;3600542298407
I20;FRA;77;3600542383523;3600542383523
I20;FRA;1;3600542417846;3600542417846
I20;FRA;27;3600542441643;3600542441643
I20;FRA;19;3600542444224;3600542444224
I20;FRA;97;3600542450645;3600542450645
I20;FRA;58;3600542453516;3600542453516
