ean_product;division;subaxis;year_month;monthly_sellin;best_month_sellin;total_sellin_12m;ranking
3600524098568;CPD;Hair Care;2024-06;166678;430138;1840580;99
3600524098568;CPD;Hair Care;2024-07;406655;430138;1840580;99
3600524098568;CPD;Hair Care;2024-08;430138;430138;1840580;99
3600524098568;CPD;Hair Care;2024-09;396076;430138;1840580;99
3600524098568;CPD;Hair Care;2024-10;398229;430138;1840580;99
3600524098568;CPD;Hair Care;2024-11;15096;430138;1840580;99
3600524098568;CPD;Hair Care;2024-12;8952;430138;1840580;99
3600524098568;CPD;Hair Care;2025-03;18756;430138;1840580;99
3600524098698;CPD;Hair Care;2024-06;39204;471605;1709163;99
3600524098698;CPD;Hair Care;2024-07;471605;471605;1709163;99
3600524098698;CPD;Hair Care;2024-08;445322;471605;1709163;99
3600524098698;CPD;Hair Care;2024-09;334416;471605;1709163;99
3600524098698;CPD;Hair Care;2024-10;300489;471605;1709163;99
3600524098698;CPD;Hair Care;2024-11;116148;471605;1709163;99
3600524098698;CPD;Hair Care;2025-02;24;471605;1709163;99
3600524098698;CPD;Hair Care;2025-03;960;471605;1709163;99
3600524098698;CPD;Hair Care;2025-04;15;471605;1709163;99
3600524098698;CPD;Hair Care;2025-05;980;471605;1709163;99
3600542383523;CPD;Face Care;2024-06;12880;362651;2450920;99
3600542383523;CPD;Face Care;2024-07;336454;362651;2450920;99
3600542383523;CPD;Face Care;2024-08;47752;362651;2450920;99
3600542383523;CPD;Face Care;2024-09;362651;362651;2450920;99
3600542383523;CPD;Face Care;2024-10;333803;362651;2450920;99
3600542383523;CPD;Face Care;2024-11;335760;362651;2450920;99
3600542383523;CPD;Face Care;2024-12;225760;362651;2450920;99
3600542383523;CPD;Face Care;2025-01;182340;362651;2450920;99
3600542383523;CPD;Face Care;2025-02;251160;362651;2450920;99
3600542383523;CPD;Face Care;2025-03;224940;362651;2450920;99
3600542383523;CPD;Face Care;2025-04;135580;362651;2450920;99
3600542383523;CPD;Face Care;2025-05;1840;362651;2450920;99
3600551053752;CPD;Bath & Shower;2024-06;28261;355689;1342084;99
3600551053752;CPD;Bath & Shower;2024-07;355689;355689;1342084;99
3600551053752;CPD;Bath & Shower;2024-08;334283;355689;1342084;99
3600551053752;CPD;Bath & Shower;2024-09;247464;355689;1342084;99
3600551053752;CPD;Bath & Shower;2024-10;316925;355689;1342084;99
3600551053752;CPD;Bath & Shower;2024-11;2892;355689;1342084;99
3600551053752;CPD;Bath & Shower;2024-12;1260;355689;1342084;99
3600551053752;CPD;Bath & Shower;2025-01;3528;355689;1342084;99
3600551053752;CPD;Bath & Shower;2025-02;4214;355689;1342084;99
3600551053752;CPD;Bath & Shower;2025-03;11052;355689;1342084;99
3600551053752;CPD;Bath & Shower;2025-04;36492;355689;1342084;99
