store_code;year_week;barcode;sap_code;source_code;total_items_weekly
A90;2025-22;3054080063780;ZFR26373;A1796703;8
A90;2025-23;3054080063780;ZFR26373;A1796703;24
A90;2025-24;3054080063780;ZFR26373;A1796703;6
A90;2025-22;3600520756509;A2184230;A2184221;11
A90;2025-23;3600520756509;A2184230;A2184221;23
A90;2025-24;3600520756509;A2184230;A2184221;8
A90;2025-22;3600522105992;A7480315;A6150801;5
A90;2025-23;3600522105992;A7480315;A6150801;13
A90;2025-24;3600522105992;A7480315;A6150801;2
A90;2025-22;3600523755721;ZFR36801;A9892202;9
A90;2025-23;3600523755721;ZFR36801;A9892202;11
A90;2025-24;3600523755721;ZFR36801;A9892202;2
A90;2025-22;3600524098568;AA638200;3600520000000;7
A90;2025-23;3600524098568;AA638200;3600520000000;10
A90;2025-24;3600524098568;AA638200;3600520000000;2
A90;2025-22;3600524098681;AA639400;3600520000000;8
A90;2025-23;3600524098681;AA639400;3600520000000;9
A90;2025-22;3600524102982;AA654800;3600520000000;6
A90;2025-23;3600524102982;AA654800;3600520000000;5
A90;2025-22;3600541426078;XFR26602;C5341801;4
A90;2025-23;3600541426078;XFR26602;C5341801;2
A90;2025-24;3600541426078;XFR26602;C5341801;3
A90;2025-22;3600542120487;C5986403;C5986400;6
A90;2025-23;3600542120487;C5986403;C5986400;11
A90;2025-24;3600542120487;C5986403;C5986400;1
A90;2025-22;3600542298407;XFR26621;C6363200;8
A90;2025-23;3600542298407;XFR26621;C6363200;20
A90;2025-24;3600542298407;XFR26621;C6363200;3
A90;2025-22;3600542383523;C6482802;3600540000000;7
A90;2025-23;3600542383523;C6482802;3600540000000;15
A90;2025-24;3600542383523;C6482802;3600540000000;4
A90;2025-22;3600542444224;C6660702;C6660700;2
A90;2025-23;3600542444224;C6660702;C6660700;3
A90;2025-24;3600542444224;C6660702;C6660700;2
A90;2025-22;3600542450645;XFR26611;XFR25385;1
A90;2025-23;3600542450645;XFR26611;XFR25385;4
A90;2025-24;3600542450645;XFR26611;XFR25385;2
A90;2025-22;3600542453516;XFR26612;XFR25847;1
A90;2025-23;3600542453516;XFR26612;XFR25847;2
A90;2025-24;3600550817584;D0790622;D0790619;2
A90;2025-22;3600551067353;WFR28693;3600550000000;2
A90;2025-23;3600551067353;WFR28693;3600550000000;5
A90;2025-22;3600551068459;WFR28691;D3782001;4
A90;2025-23;3600551068459;WFR28691;D3782001;7
A90;2025-24;3600551068459;WFR28691;D3782001;4
A90;2025-24;3600551102993;WFR27338;3600550000000;1
A90;2025-24;3600551119854;D3844700;3600550000000;3
A90;2025-22;3600551125336;WFR28694;WFR28141;3
A90;2025-23;3600551125336;WFR28694;WFR28141;9
A90;2025-24;3600551125336;WFR28694;WFR28141;2
A90;2025-24;3600551142128;D3898400;3600550000000;2
A90;2025-22;3600551142210;D3899301;3600550000000;6
A90;2025-23;3600551142210;D3899301;3600550000000;7
A90;2025-24;3600551142210;D3899301;3600550000000;2
A90;2025-22;3600551142227;D3899401;3600550000000;4
A90;2025-23;3600551142227;D3899401;3600550000000;2
A90;2025-24;3600551142227;D3899401;3600550000000;1
B10;2025-22;3054080063780;ZFR26373;A1796703;10
B10;2025-23;3054080063780;ZFR26373;A1796703;25
B10;2025-24;3054080063780;ZFR26373;A1796703;5
B10;2025-23;3600520756509;A2184230;A2184221;6
B10;2025-24;3600520756509;A2184230;A2184221;19
B10;2025-22;3600522105992;A7480315;A6150801;23
B10;2025-23;3600522105992;A7480315;A6150801;55
B10;2025-23;3600523755721;ZFR36801;A9892202;2
B10;2025-24;3600523755721;ZFR36801;A9892202;3
B10;2025-22;3600524098568;AA638200;3600520000000;8
B10;2025-23;3600524098568;AA638200;3600520000000;17
B10;2025-24;3600524098568;AA638200;3600520000000;3
B10;2025-22;3600524098681;AA639400;3600520000000;3
B10;2025-23;3600524098681;AA639400;3600520000000;10
B10;2025-24;3600524098681;AA639400;3600520000000;6
B10;2025-22;3600524102982;AA654800;3600520000000;3
B10;2025-23;3600524102982;AA654800;3600520000000;7
B10;2025-24;3600524102982;AA654800;3600520000000;8
B10;2025-23;3600524143619;AA831200;3600520000000;18
B10;2025-24;3600524143619;AA831200;3600520000000;18
B10;2025-23;3600541426078;XFR26602;C5341801;4
B10;2025-24;3600541426078;XFR26602;C5341801;1
B10;2025-24;3600542120487;C5986403;C5986400;6
