store_code;ean_material_code;material_number;order_quantity
A90;3600551142210;D3899301;48
A90;3600550041347;D0980407;48
A90;3600542417846;C6584101;36
A90;3054080063780;A5742754;30
A90;3600551067353;D3777200;30
A90;3600551119854;D3844700;24
A90;3600550817584;D0790622;12
B10;3600551142128;D3898400;72
B10;3600551142227;D3899401;72
B10;3600551142210;D3899301;60
B10;3600551067353;D3777200;36
B10;3600551142197;D3899100;36
B20;3054080063780;A5742754;90
B20;3600542383523;C6482802;60
B20;3600542450645;C6684403;60
B20;3600551067353;D3777200;36
B20;3600551119854;D3844700;36
B20;3600550817584;D0790622;36
B20;3600542298407;C6363202;30
B30;3600542120487;C5986403;96
B30;3600542298407;C6363202;60
B30;3054080063780;A5742754;48
B30;3600524098568;AA638200;48
B30;3600550817584;D0790622;36
B30;3600524143619;AA831200;36
B30;3600542450645;C6684403;36
B30;3600542453516;C6705403;36
B30;3600523755721;A9892203;18
B30;3600551067353;D3777200;18
B40;3600551142210;D3899301;72
B40;3600551142227;D3899401;60
B40;3600551142128;D3898400;60
B40;3600551142197;D3899100;48
B40;3600550817584;D0790622;36
B40;3600542453516;C6705403;36
B40;3600551119854;D3844700;36
B40;3600551125336;D3852800;18
B50;3600551142128;D3898400;96
B50;3600551142227;D3899401;72
B50;3600551142197;D3899100;72
B50;3600551142210;D3899301;72
B50;3600551119854;D3844700;48
B50;3600550817584;D0790622;48
B50;3600551125336;D3852800;42
B50;3600542120487;C5986403;36
B50;3600550041347;D0980407;24
H00;3054080063780;A5742754;174
H00;3600542383523;C6482802;160
H00;3600551068459;D3782001;120
H00;3600542120487;C5986403;84
H00;3600522105992;A7480315;78
H00;3600520756509;A2184230;60
H00;3600542298407;C6363202;60
H00;3600524098568;AA638200;60
H00;3600542453516;C6705403;54
H00;3600542417846;C6584101;48
H00;3600551125336;D3852800;42
H00;3600551119854;D3844700;36
H00;3600550041347;D0980407;36
H00;3600550817584;D0790622;36
H00;3600524143619;AA831200;30
H00;3600524102982;AA654800;24
H00;3600551067353;D3777200;24
H00;3600542441643;C6644301;24
H00;3600542450645;C6684403;24
H00;3600523755721;A9892203;12
I20;3600551142128;D3898400;72
I20;3600551142197;D3899100;48
I20;3600551142210;D3899301;48
I20;3600551068459;D3782001;42
I20;3054080063780;A5742754;42
I20;3600551067353;D3777200;42
I20;3600550817584;D0790622;36
I20;3600550041347;D0980407;36
I20;3600551119854;D3844700;36
I20;3600551142227;D3899401;24
I20;3600542441643;C6644301;24
I20;3600522105992;A7480315;24
I50;3054080063780;A5742754;120
I50;3600542120487;C5986403;90
I50;3600524143619;AA831200;78
I50;3600542298407;C6363202;54
I50;3600550817584;D0790622;48
I50;3600524098568;AA638200;36
I50;3600542450645;C6684403;24
Z90;3600542120487;C5986403;120
Z90;3600550041347;D0980407;96
Z90;3054080063780;A5742754;90
Z90;3600542450645;C6684403;72
Z90;3600542453769;C6706101;60
Z90;3600551125336;D3852800;48
Z90;3600542441643;C6644301;36
Z90;3600542417846;C6584101;36
Z90;3600550817584;D0790622;36
Z90;3600551119854;D3844700;36
Z90;3600551068459;D3782001;36
Z90;3600542298407;C6363202;30
