store_code,country_code_iso3,physical_quantity,product_code,barcode
A90,FRA,155,30152540,30152540
A90,FRA,1,30152540,30152540
A90,FRA,132,30161467,30161467
A90,FRA,103,3600530847914,3600530847914
A90,FRA,79,3600531089795,3600531089795
A90,FRA,80,800897085605,800897085605
A90,FRA,44,800897123277,800897123277
A90,FRA,22,800897182618,800897182618
A90,FRA,1,800897192303,800897192303
A90,FRA,1,800897225254,800897225254
A90,FRA,122,800897225254,800897225254
A90,FRA,73,800897846008,800897846008
B10,FRA,129,30152540,30152540
B10,FRA,7,30152540,30152540
B10,FRA,394,30161467,30161467
B10,FRA,83,3600530847914,3600530847914
B10,FRA,173,3600531089795,3600531089795
B10,FRA,24,800897085605,800897085605
B10,FRA,126,800897085605,800897085605
B10,FRA,57,800897123277,800897123277
B10,FRA,50,800897182618,800897182618
B10,FRA,1,800897192303,800897192303
B10,FRA,2,800897192303,800897192303
B10,FRA,141,800897225254,800897225254
B10,FRA,88,800897846008,800897846008
B20,FRA,151,30152540,30152540
B20,FRA,11,30152540,30152540
B20,FRA,498,30161467,30161467
B20,FRA,5,30161467,30161467
B20,FRA,9,3600530847914,3600530847914
B20,FRA,310,3600531089795,3600531089795
B20,FRA,150,800897085605,800897085605
B20,FRA,1,800897123277,800897123277
B20,FRA,41,800897123277,800897123277
B20,FRA,75,800897182618,800897182618
B20,FRA,2,800897192303,800897192303
B20,FRA,172,800897225254,800897225254
B20,FRA,110,800897846008,800897846008
B20,FRA,1,800897846008,800897846008
B30,FRA,265,30152540,30152540
B30,FRA,5,30152540,30152540
B30,FRA,1,30161467,30161467
B30,FRA,123,30161467,30161467
B30,FRA,63,3600530847914,3600530847914
B30,FRA,8,3600531089795,3600531089795
B30,FRA,1,800897085605,800897085605
B30,FRA,248,800897085605,800897085605
B30,FRA,5,800897123277,800897123277
B30,FRA,41,800897123277,800897123277
B30,FRA,3,800897182618,800897182618
B30,FRA,31,800897182618,800897182618
B30,FRA,113,800897225254,800897225254
B30,FRA,67,800897846008,800897846008
B40,FRA,180,30152540,30152540
B40,FRA,286,30161467,30161467
B40,FRA,1,30161467,30161467
B40,FRA,6,3600530847914,3600530847914
B40,FRA,59,3600531089795,3600531089795
B40,FRA,104,800897085605,800897085605
B40,FRA,49,800897123277,800897123277
B40,FRA,1,800897123277,800897123277
B40,FRA,64,800897182618,800897182618
B40,FRA,2,800897192303,800897192303
B40,FRA,127,800897225254,800897225254
B40,FRA,49,800897846008,800897846008
B50,FRA,110,30152540,30152540
B50,FRA,4,30152540,30152540
B50,FRA,2,30161467,30161467
B50,FRA,166,30161467,30161467
B50,FRA,18,3600530847914,3600530847914
B50,FRA,283,3600531089795,3600531089795
B50,FRA,80,800897085605,800897085605
B50,FRA,43,800897123277,800897123277
B50,FRA,43,800897182618,800897182618
B50,FRA,2,800897192303,800897192303
B50,FRA,256,800897225254,800897225254
B50,FRA,2,800897225254,800897225254
B50,FRA,2,800897846008,800897846008
B50,FRA,67,800897846008,800897846008
H00,FRA,112,30152540,30152540
H00,FRA,7,3600530847914,3600530847914
H00,FRA,7,3600531089795,3600531089795
H00,FRA,148,800897085605,800897085605
H00,FRA,1,800897123277,800897123277
H00,FRA,39,800897123277,800897123277
H00,FRA,47,800897182618,800897182618
H00,FRA,2,800897192303,800897192303
H00,FRA,1,800897225254,800897225254
H00,FRA,143,800897225254,800897225254
H00,FRA,32,800897846008,800897846008
I20,FRA,150,30152540,30152540
I20,FRA,184,30161467,30161467
I20,FRA,79,3600530847914,3600530847914
I20,FRA,57,3600531089795,3600531089795
I20,FRA,41,800897085605,800897085605
I20,FRA,99,800897123277,800897123277
I20,FRA,60,800897182618,800897182618
I20,FRA,150,800897225254,800897225254
I20,FRA,195,800897846008,800897846008
I50,FRA,219,30152540,30152540
I50,FRA,199,30161467,30161467
I50,FRA,159,3600531089795,3600531089795
I50,FRA,123,800897085605,800897085605
I50,FRA,85,800897123277,800897123277
I50,FRA,1,800897182618,800897182618
I50,FRA,106,800897182618,800897182618
I50,FRA,161,800897225254,800897225254
I50,FRA,171,800897846008,800897846008
Z90,FRA,17,30152540,30152540
Z90,FRA,1,30152540,30152540
Z90,FRA,298,30161467,30161467
Z90,FRA,7,3600530847914,3600530847914
Z90,FRA,98,3600531089795,3600531089795
Z90,FRA,83,800897085605,800897085605
Z90,FRA,67,800897123277,800897123277
Z90,FRA,71,800897182618,800897182618
Z90,FRA,5,800897192303,800897192303
Z90,FRA,127,800897225254,800897225254
Z90,FRA,70,800897846008,800897846008
