store_code,year_week,barcode,sap_code,source_code,total_items_weekly
A90,2024-18,30152540,AA533100,AA532800,25
A90,2024-19,30152540,AA533100,AA532800,8
A90,2024-21,30152540,AA533100,AA532800,2
A90,2024-22,30152540,AA533100,AA532800,2
A90,2024-23,30152540,AA533100,AA532800,5
A90,2024-24,30152540,AA533100,AA532800,2
A90,2024-25,30152540,AA533100,AA532800,4
A90,2024-26,30152540,AA533100,AA532800,10
A90,2024-27,30152540,AA533100,AA532800,7
A90,2024-28,30152540,AA533100,AA532800,7
A90,2024-29,30152540,AA533100,AA532800,6
A90,2024-30,30152540,AA533100,AA532800,4
A90,2024-31,30152540,AA533100,AA532800,6
A90,2024-32,30152540,AA533100,AA532800,6
A90,2024-33,30152540,AA533100,AA532800,32
A90,2024-34,30152540,AA533100,AA532800,375
A90,2024-35,30152540,AA533100,AA532800,3
A90,2024-37,30152540,AA533100,AA532800,3
A90,2024-39,30152540,AA533100,AA532800,3
A90,2024-40,30152540,AA533100,AA532800,9
A90,2024-41,30152540,AA533100,AA532800,3
A90,2024-42,30152540,AA533100,AA532800,5
A90,2024-43,30152540,AA533100,AA532800,5
A90,2024-44,30152540,AA533100,AA532800,6
A90,2024-45,30152540,AA533100,AA532800,7
A90,2024-46,30152540,AA533100,AA532800,1
A90,2024-47,30152540,AA533100,AA532800,2
A90,2024-48,30152540,AA533100,AA532800,40
A90,2024-49,30152540,AA533100,AA532800,2
A90,2024-50,30152540,AA533100,AA532800,9
A90,2024-51,30152540,AA533100,AA532800,4
A90,2024-52,30152540,AA533100,AA532800,9
A90,2024-53,30152540,AA533100,AA532800,3
A90,2025-00,30152540,AA533100,AA532800,5
A90,2025-01,30152540,AA533100,AA532800,10
A90,2025-02,30152540,AA533100,AA532800,8
A90,2025-03,30152540,AA533100,AA532800,6
A90,2025-04,30152540,AA533100,AA532800,7
A90,2025-05,30152540,AA533100,AA532800,6
A90,2025-06,30152540,AA533100,AA532800,2
A90,2025-07,30152540,AA533100,AA532800,5
A90,2025-08,30152540,AA533100,AA532800,8
A90,2025-09,30152540,AA533100,AA532800,2
A90,2025-10,30152540,AA533100,AA532800,1
A90,2025-11,30152540,AA533100,AA532800,11
A90,2025-12,30152540,AA533100,AA532800,8
A90,2025-13,30152540,AA533100,AA532800,9
A90,2025-14,30152540,AA533100,AA532800,7
A90,2025-15,30152540,AA533100,AA532800,2
A90,2025-16,30152540,AA533100,AA532800,4
A90,2025-17,30152540,AA533100,AA532800,2
A90,2025-18,30152540,AA533100,AA532800,1
A90,2025-19,30152540,AA533100,AA532800,1
A90,2024-22,30161467,B3471101,B3471100,2
A90,2024-23,30161467,B3471101,B3471100,12
A90,2024-26,30161467,B3471101,B3471100,9
A90,2024-30,30161467,B3471101,B3471100,31
A90,2024-31,30161467,B3471101,B3471100,14
A90,2024-32,30161467,B3471101,B3471100,7
A90,2024-33,30161467,B3471101,B3471100,23
A90,2024-34,30161467,B3471101,B3471100,21
A90,2024-35,30161467,B3471101,B3471100,10
A90,2024-36,30161467,B3471101,B3471100,7
A90,2024-37,30161467,B3471101,B3471100,2
A90,2024-38,30161467,B3471101,B3471100,4
A90,2024-39,30161467,B3471101,B3471100,1
A90,2024-40,30161467,B3471101,B3471100,6
A90,2024-41,30161467,B3471101,B3471100,8
A90,2024-42,30161467,B3471101,B3471100,5
A90,2024-43,30161467,B3471101,B3471100,13
A90,2024-44,30161467,B3471101,B3471100,22
A90,2024-45,30161467,B3471101,B3471100,2
A90,2024-46,30161467,B3471101,B3471100,10
A90,2024-47,30161467,B3471101,B3471100,17
A90,2024-48,30161467,B3471101,B3471100,41
A90,2024-50,30161467,B3471101,B3471100,4
A90,2024-51,30161467,B3471101,B3471100,6
A90,2024-52,30161467,B3471101,B3471100,6
A90,2024-53,30161467,B3471101,B3471100,3
A90,2025-00,30161467,B3471101,B3471100,15
A90,2025-01,30161467,B3471101,B3471100,25
A90,2025-02,30161467,B3471101,B3471100,29
A90,2025-03,30161467,B3471101,B3471100,15
A90,2025-04,30161467,B3471101,B3471100,12
A90,2025-05,30161467,B3471101,B3471100,1
A90,2025-07,30161467,B3471101,B3471100,4
A90,2025-08,30161467,B3471101,B3471100,4
A90,2025-09,30161467,B3471101,B3471100,2
A90,2025-10,30161467,B3471101,B3471100,2
A90,2025-11,30161467,B3471101,B3471100,4
A90,2025-12,30161467,B3471101,B3471100,1
A90,2025-15,30161467,B3471101,B3471100,6
A90,2025-16,30161467,B3471101,B3471100,38
A90,2025-17,30161467,B3471101,B3471100,45
A90,2025-18,30161467,B3471101,B3471100,20
A90,2024-18,3600530847914,B2118802,B2118800,5
A90,2024-19,3600530847914,B2118802,B2118800,15
A90,2024-20,3600530847914,B2118802,B2118800,5
A90,2024-21,3600530847914,B2118802,B2118800,8
A90,2024-22,3600530847914,B2118802,B2118800,4
A90,2024-23,3600530847914,B2118802,B2118800,6
A90,2024-24,3600530847914,B2118802,B2118800,14
A90,2024-25,3600530847914,B2118802,B2118800,9
A90,2024-26,3600530847914,B2118802,B2118800,39
A90,2024-27,3600530847914,B2118802,B2118800,105
A90,2024-28,3600530847914,B2118802,B2118800,80
A90,2024-29,3600530847914,B2118802,B2118800,72
A90,2024-30,3600530847914,B2118802,B2118800,22
A90,2024-31,3600530847914,B2118802,B2118800,10
A90,2024-32,3600530847914,B2118802,B2118800,5
A90,2024-33,3600530847914,B2118802,B2118800,10
A90,2024-34,3600530847914,B2118802,B2118800,7
A90,2024-35,3600530847914,B2118802,B2118800,12
A90,2024-36,3600530847914,B2118802,B2118800,9
A90,2024-37,3600530847914,B2118802,B2118800,1
A90,2024-38,3600530847914,B2118802,B2118800,7
A90,2024-39,3600530847914,B2118802,B2118800,3
A90,2024-40,3600530847914,B2118802,B2118800,7
A90,2024-41,3600530847914,B2118802,B2118800,3
A90,2024-42,3600530847914,B2118802,B2118800,9
A90,2024-43,3600530847914,B2118802,B2118800,27
A90,2024-44,3600530847914,B2118802,B2118800,24
A90,2024-45,3600530847914,B2118802,B2118800,6
A90,2024-46,3600530847914,B2118802,B2118800,8
A90,2024-47,3600530847914,B2118802,B2118800,8
A90,2024-48,3600530847914,B2118802,B2118800,41
A90,2024-49,3600530847914,B2118802,B2118800,21
A90,2024-50,3600530847914,B2118802,B2118800,23
A90,2024-51,3600530847914,B2118802,B2118800,9
A90,2024-52,3600530847914,B2118802,B2118800,21
A90,2024-53,3600530847914,B2118802,B2118800,5
A90,2025-00,3600530847914,B2118802,B2118800,20
A90,2025-01,3600530847914,B2118802,B2118800,33
A90,2025-02,3600530847914,B2118802,B2118800,47
A90,2025-03,3600530847914,B2118802,B2118800,9
A90,2025-04,3600530847914,B2118802,B2118800,28
A90,2025-05,3600530847914,B2118802,B2118800,3
A90,2025-06,3600530847914,B2118802,B2118800,4
A90,2025-07,3600530847914,B2118802,B2118800,7
A90,2025-08,3600530847914,B2118802,B2118800,20
A90,2025-09,3600530847914,B2118802,B2118800,2
A90,2025-16,3600530847914,B2118802,B2118800,4
A90,2024-18,3600531089795,YFR10098,B2458801,14
A90,2024-19,3600531089795,YFR10098,B2458801,8
A90,2024-20,3600531089795,YFR10098,B2458801,3
A90,2024-21,3600531089795,YFR10098,B2458801,9
A90,2024-22,3600531089795,YFR10098,B2458801,2
A90,2024-24,3600531089795,YFR10098,B2458801,6
A90,2024-25,3600531089795,YFR10098,B2458801,1
A90,2024-26,3600531089795,YFR10098,B2458801,60
A90,2024-27,3600531089795,YFR10098,B2458801,57
A90,2024-28,3600531089795,YFR10098,B2458801,49
A90,2024-29,3600531089795,YFR10098,B2458801,45
A90,2024-30,3600531089795,YFR10098,B2458801,16
A90,2024-31,3600531089795,YFR10098,B2458801,4
A90,2024-32,3600531089795,YFR10098,B2458801,2
A90,2024-33,3600531089795,YFR10098,B2458801,11
A90,2024-34,3600531089795,YFR10098,B2458801,43
A90,2024-35,3600531089795,YFR10098,B2458801,1
A90,2024-36,3600531089795,YFR10098,B2458801,1
A90,2024-37,3600531089795,YFR10098,B2458801,2
A90,2024-38,3600531089795,YFR10098,B2458801,2
A90,2024-39,3600531089795,YFR10098,B2458801,9
A90,2024-40,3600531089795,YFR10098,B2458801,5
A90,2024-41,3600531089795,YFR10098,B2458801,6
A90,2024-42,3600531089795,YFR10098,B2458801,3
A90,2024-43,3600531089795,YFR10098,B2458801,8
A90,2024-44,3600531089795,YFR10098,B2458801,3
A90,2024-48,3600531089795,YFR10098,B2458801,17
A90,2025-01,3600531089795,YFR10098,B2458801,33
A90,2025-02,3600531089795,YFR10098,B2458801,41
A90,2025-03,3600531089795,YFR10098,B2458801,13
A90,2025-04,3600531089795,YFR10098,B2458801,26
A90,2025-05,3600531089795,YFR10098,B2458801,3
A90,2025-06,3600531089795,YFR10098,B2458801,3
A90,2025-07,3600531089795,YFR10098,B2458801,8
A90,2025-08,3600531089795,YFR10098,B2458801,16
A90,2025-09,3600531089795,YFR10098,B2458801,4
A90,2025-10,3600531089795,YFR10098,B2458801,8
A90,2025-11,3600531089795,YFR10098,B2458801,3
A90,2025-12,3600531089795,YFR10098,B2458801,12
A90,2025-13,3600531089795,YFR10098,B2458801,16
A90,2025-14,3600531089795,YFR10098,B2458801,12
A90,2025-15,3600531089795,YFR10098,B2458801,16
A90,2025-16,3600531089795,YFR10098,B2458801,8
A90,2025-17,3600531089795,YFR10098,B2458801,4
A90,2025-18,3600531089795,YFR10098,B2458801,8
A90,2024-23,800897085605,K2387705,K2387700,13
A90,2024-24,800897085605,K2387705,K2387700,10
A90,2024-25,800897085605,K2387705,K2387700,15
A90,2024-26,800897085605,K2387705,K2387700,32
A90,2024-27,800897085605,K2387705,K2387700,34
A90,2024-28,800897085605,K2387705,K2387700,21
A90,2024-29,800897085605,K2387705,K2387700,19
A90,2024-30,800897085605,K2387705,K2387700,17
