store_code,ean_material_code,material_number,order_quantity
A90,800897085605,K2387705,45
A90,800897225254,K5230200,36
A90,800897846008,K4262104,30
A90,800897085605,K2387705,30
A90,800897225254,K5230200,21
B10,800897225254,K5230200,36
B10,800897085605,K2387705,30
B10,800897846008,K4262104,30
B10,800897225254,K5230200,27
B20,800897846008,K4262104,117
B20,800897225254,K5230200,45
B20,800897225254,K5230200,36
B20,800897085605,K2387705,30
B20,3600531089795,B2458801,12
B20,3600530847914,B2118800,5
B20,30161467,B3471100,3
B30,800897225254,K5230200,45
B30,800897225254,K5230200,36
B30,800897085605,K2387705,30
B30,800897846008,K4262104,30
B30,30152540,AA533100,7
B30,30161467,B3471100,2
B30,30152540,AA533100,1
B40,800897225254,K5230200,36
B40,800897085605,K2387705,30
B40,800897846008,K4262104,30
B40,800897225254,K5230200,27
B40,3600531089795,B2458801,15
B40,30152540,AA533100,13
B40,3600530847914,B2118800,4
B50,800897225254,K5230200,36
B50,800897846008,K4262104,30
B50,800897085605,K2387705,30
B50,800897225254,K5230200,27
H00,800897123277,K4009608,126
H00,800897846008,K4262104,69
H00,800897225254,K5230200,36
H00,800897225254,K5230200,36
H00,800897846008,K4262104,30
H00,800897085605,K2387705,30
H00,3600531089795,B2458801,5
H00,30161467,B3471100,4
H00,3600530847914,B2118800,3
H00,30152540,AA533100,1
I20,800897085605,K2387705,87
I20,800897225254,K5230200,45
I20,800897225254,K5230200,36
I20,800897182618,K3445202,36
I20,800897846008,K4262104,30
I20,800897085605,K2387705,30
I50,800897225254,K5230200,45
I50,800897225254,K5230200,36
I50,800897085605,K2387705,30
I50,800897846008,K4262104,30
I50,3600531089795,B2458801,10
I50,3600530847914,B2118800,6
I50,30161467,B3471100,3
Z90,800897085605,K2387705,114
Z90,800897846008,K4262104,81
Z90,800897225254,K5230200,45
Z90,800897225254,K5230200,36
